time,consumption_mwh
2026-03-31 21:00:00+00:00,10192.1
2026-03-31 21:15:00+00:00,10195.7
2026-03-31 21:30:00+00:00,10114.6
2026-03-31 21:45:00+00:00,10061.4
2026-03-31 22:00:00+00:00,10182.3
2026-03-31 22:15:00+00:00,10326.9
2026-03-31 22:30:00+00:00,10304.1
2026-03-31 22:45:00+00:00,10254.6
2026-03-31 23:00:00+00:00,10291.8
2026-03-31 23:15:00+00:00,10349.4
2026-03-31 23:30:00+00:00,10252.8
2026-03-31 23:45:00+00:00,10194.2
2026-04-01 00:00:00+00:00,10206.7
2026-04-01 00:15:00+00:00,10191.8
2026-04-01 00:30:00+00:00,10164.4
2026-04-01 00:45:00+00:00,10070.2
2026-04-01 01:00:00+00:00,10035.2
2026-04-01 01:15:00+00:00,10055.3
2026-04-01 01:30:00+00:00,10082.0
2026-04-01 01:45:00+00:00,10122.0
2026-04-01 02:00:00+00:00,10198.6
2026-04-01 02:15:00+00:00,10265.8
2026-04-01 02:30:00+00:00,10314.1
2026-04-01 02:45:00+00:00,10417.9
2026-04-01 03:00:00+00:00,10578.1
2026-04-01 03:15:00+00:00,10679.9
2026-04-01 03:30:00+00:00,10760.5
2026-04-01 03:45:00+00:00,10853.2
2026-04-01 04:00:00+00:00,11008.5
2026-04-01 04:15:00+00:00,11162.0
2026-04-01 04:30:00+00:00,11272.2
2026-04-01 04:45:00+00:00,11354.3
2026-04-01 05:00:00+00:00,11412.1
2026-04-01 05:15:00+00:00,11456.2
2026-04-01 05:30:00+00:00,11577.9
2026-04-01 05:45:00+00:00,11664.0
2026-04-01 06:00:00+00:00,11664.8
2026-04-01 06:15:00+00:00,11781.2
2026-04-01 06:30:00+00:00,11737.0
2026-04-01 06:45:00+00:00,11803.7
2026-04-01 07:00:00+00:00,11758.6
2026-04-01 07:15:00+00:00,11677.5
2026-04-01 07:30:00+00:00,11633.0
2026-04-01 07:45:00+00:00,11673.3
2026-04-01 08:00:00+00:00,11708.4
2026-04-01 08:15:00+00:00,11619.2
2026-04-01 08:30:00+00:00,11618.8
2026-04-01 08:45:00+00:00,11610.0
2026-04-01 09:00:00+00:00,11593.7
2026-04-01 09:15:00+00:00,11562.9
2026-04-01 09:30:00+00:00,11456.1
2026-04-01 09:45:00+00:00,11360.2
2026-04-01 10:00:00+00:00,11210.4
2026-04-01 10:15:00+00:00,11144.1
2026-04-01 10:30:00+00:00,11108.3
2026-04-01 10:45:00+00:00,10970.1
2026-04-01 11:00:00+00:00,10917.0
2026-04-01 11:15:00+00:00,10999.7
2026-04-01 11:30:00+00:00,11043.3
2026-04-01 11:45:00+00:00,10963.9
2026-04-01 12:00:00+00:00,10931.1
2026-04-01 12:15:00+00:00,10991.2
2026-04-01 12:30:00+00:00,11021.9
2026-04-01 12:45:00+00:00,10971.4
2026-04-01 13:00:00+00:00,10889.3
2026-04-01 13:15:00+00:00,10833.4
2026-04-01 13:30:00+00:00,10859.0
2026-04-01 13:45:00+00:00,10944.5
2026-04-01 14:00:00+00:00,10992.6
2026-04-01 14:15:00+00:00,10993.4
2026-04-01 14:30:00+00:00,10981.4
2026-04-01 14:45:00+00:00,10988.9
2026-04-01 15:00:00+00:00,11025.5
2026-04-01 15:15:00+00:00,11031.9
2026-04-01 15:30:00+00:00,11180.2
2026-04-01 15:45:00+00:00,11156.4
2026-04-01 16:00:00+00:00,11188.9
2026-04-01 16:15:00+00:00,11257.9
2026-04-01 16:30:00+00:00,11393.2
2026-04-01 16:45:00+00:00,11433.8
2026-04-01 17:00:00+00:00,11575.2
2026-04-01 17:15:00+00:00,11617.0
2026-04-01 17:30:00+00:00,11684.1
2026-04-01 17:45:00+00:00,11723.0
2026-04-01 18:00:00+00:00,11672.9
2026-04-01 18:15:00+00:00,11639.0
2026-04-01 18:30:00+00:00,11561.4
2026-04-01 18:45:00+00:00,11401.0
2026-04-01 19:00:00+00:00,11543.6
2026-04-01 19:15:00+00:00,11585.1
2026-04-01 19:30:00+00:00,11529.0
2026-04-01 19:45:00+00:00,11515.8
2026-04-01 20:00:00+00:00,11406.2
2026-04-01 20:15:00+00:00,11405.5
2026-04-01 20:30:00+00:00,11271.9
2026-04-01 20:45:00+00:00,11133.7
